name,englishName,category,calories,protein,fat,carbs,servingSizeValue,servingUnit,source,partialNutrition
Lemon Wedge (for calamari),Lemon Wedge,Other,3,0.1,0,1,1,piece,local_csv,false
Root Beer (1 can),Root Beer,Drink,150,0,0,40,1,piece,local_csv,false
Chicken McNuggets (6 pcs),Chicken McNuggets,FastFood,270,15,16,16,6,piece,local_csv,false
BBQ Sauce (2 tbsp),BBQ Sauce,Other,60,0.5,0,15,30,ml,local_csv,false
Honey (1 tbsp),Honey,Other,64,0.1,0,17.3,15,ml,local_csv,false
Tofu Scramble,Tofu Scramble,Other,250,20,16,8,100,g,local_csv,false
Turmeric (1 tsp),Turmeric,Other,9,0.3,0.1,1.9,5,ml,local_csv,false
Nutritional Yeast (1 tbsp),Nutritional Yeast,Other,20,3,0,2,15,ml,local_csv,false
Seitan (3oz),Seitan,Protein,90,18,1,4,85.05,g,local_csv,false
Vegetable Broth (1 cup),Vegetable Broth,Drink,15,1,0,3,1,cup,local_csv,false
Mashed Cauliflower (1 cup),Mashed Cauliflower,Vegetable,140,5,8,12,1,cup,local_csv,false
Peanut Sauce (2 tbsp),Peanut Sauce,Other,80,2,6,4,30,ml,local_csv,false
Tempeh (3oz),Tempeh,Protein,160,16,9,8,85.05,g,local_csv,false
Sauerkraut (1/2 cup),Sauerkraut,Vegetable,14,0.7,0.1,3.1,1,piece,local_csv,false
Rye Crispbread (2 slices),Rye Crispbread,Carbs,70,2,0.5,14,2,piece,local_csv,false
Capers (1 tbsp),Capers,Other,2,0.2,0.1,0.4,15,ml,local_csv,false
Chicken Liver (2 oz cooked),Chicken Liver,Protein,91,13.6,3.6,0.6,56.7,g,local_csv,false
Onion (1/2 cup raw chopped),Onion,Vegetable,32,0.9,0.1,7.5,1,piece,local_csv,false
Bok Choy (1 cup steamed),Bok Choy,Vegetable,10,1.5,0.1,2,1,cup,local_csv,false
Gummy Bears (10 pcs),Gummy Bears,Snack,100,2,0,22,10,piece,local_csv,false
Whiskey (1.5 oz shot),Whiskey,Drink,105,0,0,0.1,42.52,g,local_csv,false
Dates (2 medium Medjool),Dates,Fruit,133,0.8,0.1,36,2,piece,local_csv,false
Tahini (1 tbsp),Tahini,Other,89,2.6,8,3.2,15,ml,local_csv,false
Chickpeas (1/2 cup canned),Chickpeas,Carbs,135,7,2,22,1,piece,local_csv,false
Lettuce (Romaine 2 cups),Lettuce,Vegetable,16,1,0.3,3,2,cup,local_csv,false
Italian Dressing (2 tbsp),Italian Dressing,Other,70,0,7,3,30,ml,local_csv,false
Turkey Sausage (1 patty),Turkey Sausage,Protein,70,9,4,1,1,piece,local_csv,false
Maple Syrup (1 tbsp),Maple Syrup,Other,52,0,0,13.5,15,ml,local_csv,false
"Margarita (1 drink, 4oz)",Margarita,Drink,200,0.1,0,20,1,piece,local_csv,false
Quesadilla (Cheese 1 medium),Quesadilla,FastFood,400,18,22,35,1,piece,local_csv,false
Sour Cream (1 tbsp),Sour Cream,Dairy,30,0.4,2.9,0.6,15,ml,local_csv,false
Salsa (2 tbsp),Salsa,Other,10,0.5,0,2,30,ml,local_csv,false
Red Cabbage (1 cup raw),Red Cabbage,Vegetable,22,1.1,0.1,5.2,1,cup,local_csv,false
Duck (3oz roasted),Duck,Protein,285,16,24,0,85.05,g,local_csv,false
Orange Sauce (1/4 cup for duck),Orange Sauce,Other,90,0.5,0,22,1,piece,local_csv,false
Wild Rice (1 cup cooked),Wild Rice,Carbs,166,6.5,0.6,35,1,cup,local_csv,false
Cupcake (Vanilla 1 medium),Cupcake,Dessert,240,2,11,35,1,piece,local_csv,false
Frosting (Vanilla 2 tbsp),Frosting,Other,140,0,6,22,30,ml,local_csv,false
Bison Burger (1 patty),Bison Burger,Protein,150,22,7,0,1,piece,local_csv,false
Pretzel Bun (1 medium),Pretzel Bun,Carbs,230,8,2,45,1,piece,local_csv,false
Spicy Mustard (1 tbsp),Spicy Mustard,Other,10,0.5,0.5,1,15,ml,local_csv,false
Pasta Salad (1 cup),Pasta Salad,Carbs,280,8,14,30,1,cup,local_csv,false
Pepperoncini (2 peppers),Pepperoncini,Vegetable,10,0.5,0,2,2,piece,local_csv,false
Coconut Milk (1/4 cup canned),Coconut Milk,Other,111,1.1,11.6,2.9,1,piece,local_csv,false
Green Curry Paste (1 tbsp),Green Curry Paste,Other,30,0.5,2.5,2,15,ml,local_csv,false
Chicken Thigh (1 roasted),Chicken Thigh,Protein,210,24,13,0,1,piece,local_csv,false
Jasmine Rice (1 cup cooked),Jasmine Rice,Carbs,205,4.3,0.4,45,1,cup,local_csv,false
Thai Iced Tea (1 glass),Thai Iced Tea,Drink,250,3,12,35,1,piece,local_csv,false
Papaya (1 cup cubes),Papaya,Fruit,62,0.6,0.4,15.7,1,cup,local_csv,false
Lime Juice (1 tbsp),Lime Juice,Other,4,0.1,0,1.3,15,ml,local_csv,false
Macaroni Salad (1 cup),Macaroni Salad,Carbs,380,8,25,30,1,cup,local_csv,false
Celery (1 stalk),Celery,Vegetable,6,0.3,0.1,1.2,1,piece,local_csv,false
Blue Cheese (1 oz),Blue Cheese,Dairy,100,6,8,0.7,28.35,g,local_csv,false
Dark Chocolate (1 oz 70%),Dark Chocolate,Dessert,170,2.2,12,13,28.35,g,local_csv,false
Acai Bowl (1 serving),Acai Bowl,Fruit,350,5,12,60,1,piece,local_csv,false
Granola (1/4 cup topping),Granola,Carbs,120,3,6,15,1,piece,local_csv,false
Coconut Flakes (1 tbsp topping),Coconut Flakes,Fruit,35,0.3,3.3,1.5,15,ml,local_csv,false
Honey (1 tsp drizzle),Honey,Other,21,0,0,5.8,5,ml,local_csv,false
Shrimp Cocktail (4 large shrimp),Shrimp Cocktail,Seafood,60,10,1,1,4,piece,local_csv,false
Cocktail Sauce (2 tbsp),Cocktail Sauce,Other,30,0.5,0,7,30,ml,local_csv,false
Pork Bun (1 steamed),Pork Bun,FastFood,220,8,8,30,1,piece,local_csv,false
Dim Sum (Siu Mai 3 pcs),Dim Sum,FastFood,180,12,10,10,3,piece,local_csv,false
Soy Sauce (1 tbsp for dipping),Soy Sauce,Other,9,1,0,1,15,ml,local_csv,false
Oyster (1 medium raw),Oyster,Seafood,8,1,0.2,0.5,1,piece,local_csv,false
Mignonette Sauce (1 tbsp),Mignonette Sauce,Other,5,0,0,1,15,ml,local_csv,false
Beef Pho (1 large bowl),Beef Pho,Other,450,30,12,55,1,bowl,local_csv,false
Bean Sprouts (1/4 cup garnish),Bean Sprouts,Vegetable,8,0.8,0.1,1.5,1,piece,local_csv,false
Thai Basil (garnish),Thai Basil,Other,1,0.1,0,0,1,piece,local_csv,false
Lime Wedge (garnish),Lime Wedge,Other,3,0.1,0,1,1,piece,local_csv,false
Jalapeno (1 tbsp sliced),Jalapeno,Vegetable,4,0.1,0.1,0.8,15,ml,local_csv,false
Hoisin Sauce (1 tbsp),Hoisin Sauce,Other,35,0.3,0.2,8,15,ml,local_csv,false
Sriracha (1 tsp),Sriracha,Other,5,0.1,0.1,1,5,ml,local_csv,false
Crepe (1 plain),Crepe,Carbs,90,3.5,2,14,1,piece,local_csv,false
Nutella (1 tbsp),Nutella,Other,100,1.5,6,11,15,ml,local_csv,false
Powdered Sugar (1 tsp),Powdered Sugar,Other,10,0,0,2.5,5,ml,local_csv,false
Sake (3 oz),Sake,Drink,117,0.4,0,3.8,85.05,g,local_csv,false
Edamame (in pod 1 cup),Edamame,Carbs,120,11,5,9,1,cup,local_csv,false
Biryani (Chicken 1.5 cups),Biryani,FastFood,520,28,18,60,1.5,cup,local_csv,false
Raita (2 tbsp),Raita,Dairy,30,1,2,2,30,ml,local_csv,false
Lassi (Mango 1 cup),Lassi,Drink,180,5,4,30,1,cup,local_csv,false
Samosa (1 piece vegetable),Samosa,Snack,130,2,6,18,1,piece,local_csv,false
Tamarind Chutney (1 tbsp),Tamarind Chutney,Other,20,0.1,0,5,15,ml,local_csv,false
Mint Chutney (1 tbsp),Mint Chutney,Other,5,0.2,0,0.5,15,ml,local_csv,false
Pani Puri (6 pcs),Pani Puri,Snack,200,4,5,35,6,piece,local_csv,false
Passion Fruit (1 fruit),Passion Fruit,Fruit,17,0.4,0.1,4.2,1,piece,local_csv,false
Kimchi Jjigae (1 bowl),Kimchi Jjigae,Other,350,15,22,20,1,bowl,local_csv,false
Silken Tofu (3oz in soup),Silken Tofu,Protein,45,5,2.5,2,85.05,g,local_csv,false
Pork Belly (1 oz in soup),Pork Belly,Protein,145,3,15,0,28.35,g,local_csv,false
Gochugaru (1 tsp),Gochugaru,Other,10,0.3,0.3,1.8,5,ml,local_csv,false
Gochujang (1 tbsp),Gochujang,Other,30,0.5,0,6,15,ml,local_csv,false
Sesame Oil (1 tsp),Sesame Oil,Other,40,0,4.5,0,5,ml,local_csv,false
Fish Sauce (1 tsp),Fish Sauce,Other,5,0.4,0,0.5,5,ml,local_csv,false
"Sugar (1 tsp, in broth)",Sugar,Other,16,0,0,4,5,ml,local_csv,false
Green Onion (1 tbsp garnish),Green Onion,Vegetable,3,0.2,0,0.7,15,ml,local_csv,false
Kombucha (16 oz),Kombucha,Drink,60,0,0,14,453.59,g,local_csv,false
Beef Wellington (1 slice),Beef Wellington,FastFood,600,30,38,35,1,piece,local_csv,false
Pate (Mushroom 2 tbsp),Pate,Other,70,1,7,2,30,ml,local_csv,false
Puff Pastry (1 oz wrapper),Puff Pastry,Carbs,115,1.5,8,9,28.35,g,local_csv,false
Prosciutto (1 slice),Prosciutto,Protein,35,4,2.5,0,1,piece,local_csv,false
Asparagus (6 spears roasted),Asparagus,Vegetable,40,4,2,4,6,piece,local_csv,false
Hollandaise Sauce (1 tbsp),Hollandaise Sauce,Other,55,0.5,6,0.2,15,ml,local_csv,false
Flan (1 slice),Flan,Dessert,220,6,7,35,1,piece,local_csv,false
Caramel Sauce (1 tbsp),Caramel Sauce,Other,60,0,1,13,15,ml,local_csv,false
Congee (1 cup plain),Congee,Carbs,130,2.5,1,28,1,cup,local_csv,false
Pickled Radish (1/4 cup),Pickled Radish,Vegetable,15,0.5,0,3,1,piece,local_csv,false
Pork Floss (1 tbsp),Pork Floss,Protein,50,4,2,3,15,ml,local_csv,false
Century Egg (1 egg),Century Egg,Protein,100,7,7,1,1,piece,local_csv,false
Arugula (2 cups),Arugula,Vegetable,10,1,0.2,0.8,2,cup,local_csv,false
Goat Cheese (1 oz),Goat Cheese,Dairy,103,6.1,8.5,0.1,28.35,g,local_csv,false
Beets (1/2 cup roasted),Beets,Vegetable,30,0.8,0.1,6.8,1,piece,local_csv,false
Walnuts (1 tbsp chopped),Walnuts,Snack,46,1.1,4.6,1,15,ml,local_csv,false
Balsamic Glaze (1 tbsp),Balsamic Glaze,Other,40,0,0,9,15,ml,local_csv,false
Bobotie (1 serving),Bobotie,FastFood,450,25,25,30,1,piece,local_csv,false
Yellow Rice (1 cup),Yellow Rice,Carbs,230,4,1,50,1,cup,local_csv,false
Chutney (Mango 1 tbsp),Chutney,Other,45,0.1,0.1,11,15,ml,local_csv,false
Malva Pudding (1 slice),Malva Pudding,Dessert,380,5,14,60,1,piece,local_csv,false
Custard (1/4 cup),Custard,Other,80,3,3,10,1,piece,local_csv,false
Bubble Tea (16 oz milk tea),Bubble Tea,Drink,320,2,4,70,453.59,g,local_csv,false
Tapioca Pearls (1/4 cup boba),Tapioca Pearls,Other,100,0,0,25,1,piece,local_csv,false
Paella (1.5 cups seafood),Paella,Carbs,550,30,18,70,1.5,cup,local_csv,false
Chorizo (1 oz in paella),Chorizo,Protein,130,6,11,1,28.35,g,local_csv,false
Saffron (pinch),Saffron,Other,1,0,0,0.1,1,piece,local_csv,false
Aioli (Garlic 1 tbsp),Aioli,Other,95,0.1,10.5,0.5,15,ml,local_csv,false
Gazpacho (1 cup),Gazpacho,Other,90,2,4,12,1,cup,local_csv,false
Croutons (Garlic 1/4 cup),Croutons,Carbs,50,1.5,2,7,1,piece,local_csv,false
Olive Oil (1 tsp garnish),Olive Oil,Other,40,0,4.5,0,5,ml,local_csv,false
Churros (2 sticks),Churros,Dessert,240,3,12,30,2,piece,local_csv,false
Chocolate Sauce (1 tbsp dipping),Chocolate Sauce,Other,50,0.5,1.5,10,15,ml,local_csv,false
Cinnamon Sugar (1 tsp),Cinnamon Sugar,Other,20,0,0,5,5,ml,local_csv,false
Horchata (1 cup),Horchata,Drink,140,2,3,25,1,cup,local_csv,false
Ceviche (1 cup fish),Ceviche,Seafood,180,25,2,15,1,cup,local_csv,false
Red Onion (1/4 cup in ceviche),Red Onion,Vegetable,16,0.3,0,3.7,1,piece,local_csv,false
Cilantro (2 tbsp garnish),Cilantro,Other,1,0.1,0,0,30,ml,local_csv,false
Corn Nuts (1 oz),Corn Nuts,Snack,130,2,4,23,28.35,g,local_csv,false
Lomo Saltado (1.5 cups),Lomo Saltado,FastFood,500,35,22,45,1.5,cup,local_csv,false
French Fries (as side),French Fries,Vegetable,200,2,10,25,1,piece,local_csv,false
Soy Sauce (1 tbsp in stir-fry),Soy Sauce,Other,9,1,0,1,15,ml,local_csv,false
Aji Amarillo Paste (1 tsp),Aji Amarillo Paste,Other,5,0.1,0,1,5,ml,local_csv,false
Pisco Sour (1 drink),Pisco Sour,Drink,250,1,0,25,1,piece,local_csv,false
Egg White (in drink),Egg White,Other,17,3.6,0,0.2,1,piece,local_csv,false
Angostura Bitters (dash),Angostura Bitters,Other,5,0,0,0,1,piece,local_csv,false
Alfajores (1 cookie),Alfajores,Dessert,180,2,10,22,1,piece,local_csv,false
Dulce de Leche (1 tbsp filling),Dulce de Leche,Other,65,1,1.5,12,15,ml,local_csv,false
Coconut (shredded garnish),Coconut,Fruit,10,0.1,1,0.5,1,piece,local_csv,false
Mate (1 cup),Mate,Drink,5,0.2,0,1,1,cup,local_csv,false
Media Luna (1 pastry),Media Luna,Carbs,190,4,8,25,1,piece,local_csv,false
Chimichurri (1 tbsp),Chimichurri,Other,45,0.1,4.5,0.5,15,ml,local_csv,false
Skirt Steak (4oz grilled),Skirt Steak,Protein,240,26,15,0,113.4,g,local_csv,false
Provoleta (1 oz grilled cheese),Provoleta,Dairy,100,7,8,1,28.35,g,local_csv,false
Oregano (1 tsp),Oregano,Other,3,0.1,0,0.7,5,ml,local_csv,false
Empanada (Beef 1 medium),Empanada,FastFood,290,10,16,28,1,piece,local_csv,false
Chicken Milanesa (1 serving),Chicken Milanesa,FastFood,450,35,22,30,1,piece,local_csv,false
Mashed Potatoes (side),Mashed Potatoes,Vegetable,150,3,4,25,1,piece,local_csv,false
Choripan (1 sandwich),Choripan,FastFood,550,20,35,40,1,piece,local_csv,false
Baguette (slice),Baguette,Carbs,70,2.5,0.5,14,1,piece,local_csv,false
Pizza (Margherita 1 slice),Pizza,FastFood,250,12,10,30,1,piece,local_csv,false
Fresh Mozzarella (1 oz),Fresh Mozzarella,Dairy,72,5,5,0.8,28.35,g,local_csv,false
Basil (2 tbsp fresh),Basil,Other,1,0.1,0,0.1,30,ml,local_csv,false
Carbonara (1.5 cups),Carbonara,Carbs,650,25,35,60,1.5,cup,local_csv,false
Guanciale (1 oz),Guanciale,Protein,170,3,18,0,28.35,g,local_csv,false
Pecorino Cheese (1 tbsp),Pecorino Cheese,Dairy,25,1.5,2,0.1,15,ml,local_csv,false
Black Pepper (1/4 tsp),Black Pepper,Other,1,0,0,0.2,1,piece,local_csv,false
Egg Yolk (1 large in sauce),Egg Yolk,Protein,55,2.7,4.5,0.6,1,piece,local_csv,false
Supplì (1 piece fried rice ball),Supplì,Snack,200,8,8,25,1,piece,local_csv,false
Aperol Spritz (1 drink),Aperol Spritz,Drink,180,0,0,20,1,piece,local_csv,false
Prosecco (3 oz),Prosecco,Drink,70,0,0,2,85.05,g,local_csv,false
Orange Slice (garnish),Orange Slice,Fruit,5,0.1,0,1,1,piece,local_csv,false
Tagliatelle al Ragù (Bolognese),Tagliatelle al Ragù,Carbs,550,28,20,65,1,piece,local_csv,false
Ground Beef (2 oz in sauce),Ground Beef,Protein,140,11,10,0,56.7,g,local_csv,false
Pancetta (0.5 oz in sauce),Pancetta,Protein,45,1.5,4.5,0,14.17,g,local_csv,false
Carrot (1/4 minced in sauce),Carrot,Vegetable,10,0.2,0.1,2.4,1,piece,local_csv,false
Celery (1/4 stalk minced),Celery,Vegetable,2,0.1,0,0.4,1,piece,local_csv,false
Onion (1/8 minced in sauce),Onion,Vegetable,5,0.1,0,1.2,1,piece,local_csv,false
Crushed Tomatoes (1/2 cup sauce),Crushed Tomatoes,Vegetable,20,1,0,4,1,piece,local_csv,false
Parmigiano-Reggiano (1 tbsp),Parmigiano-Reggiano,Dairy,22,2,1.5,0.2,15,ml,local_csv,false
Cannoli (1 medium),Cannoli,Dessert,240,5,13,25,1,piece,local_csv,false
Ricotta (filling 1 oz),Ricotta,Dairy,49,3.2,3.8,0.8,28.35,g,local_csv,false
Pistachio (garnish),Pistachio,Snack,10,0.4,0.8,0.5,1,piece,local_csv,false
Biscotti (1 cookie),Biscotti,Dessert,110,2,4,18,1,piece,local_csv,false
Espresso (for dipping),Espresso,Drink,2,0.2,0,0,1,piece,local_csv,false
Focaccia (1 square),Focaccia,Carbs,250,8,7,40,1,piece,local_csv,false
Rosemary (1 tsp topping),Rosemary,Other,1,0,0,0.2,5,ml,local_csv,false
Olive Oil (1 tbsp drizzle),Olive Oil,Other,120,0,14,0,15,ml,local_csv,false
Bruschetta (2 pcs),Bruschetta,Snack,180,4,7,25,2,piece,local_csv,false
Balsamic Glaze (1 tsp),Balsamic Glaze,Other,13,0,0,3,5,ml,local_csv,false
Ribollita (1.5 cups soup),Ribollita,Other,350,15,8,55,1.5,cup,local_csv,false
Cannellini Beans (1/2 cup in soup),Cannellini Beans,Carbs,105,7,0.5,20,1,piece,local_csv,false
Kale (1 cup in soup),Kale,Vegetable,33,2.9,0.6,6,1,cup,local_csv,false
Stale Bread (1/2 cup in soup),Stale Bread,Carbs,80,3,1,15,1,piece,local_csv,false
Polenta (1 cup creamy),Polenta,Carbs,150,3,1,32,1,cup,local_csv,false
Gorgonzola Cheese (1 oz),Gorgonzola Cheese,Dairy,100,6,8,0.7,28.35,g,local_csv,false
Negroni (1 drink),Negroni,Drink,190,0,0,15,1,piece,local_csv,false
Gin (1 oz),Gin,Drink,70,0,0,0,28.35,g,local_csv,false
Campari (1 oz),Campari,Drink,80,0,0,10,28.35,g,local_csv,false
Sweet Vermouth (1 oz),Sweet Vermouth,Drink,40,0,0,5,28.35,g,local_csv,false
Orange Peel (garnish),Orange Peel,Other,1,0,0,0.2,1,piece,local_csv,false
Osso Buco (1 serving),Osso Buco,FastFood,550,45,30,15,1,piece,local_csv,false
Gremolata (1 tbsp),Gremolata,Other,15,0.5,1,1,15,ml,local_csv,false
Risotto alla Milanese (1 cup),Risotto alla Milanese,Carbs,350,10,12,50,1,cup,local_csv,false
Saffron (pinch in risotto),Saffron,Other,1,0,0,0.1,1,piece,local_csv,false
Panettone (1 slice),Panettone,Dessert,320,6,12,50,1,piece,local_csv,false
Candied Fruit (1 tbsp),Candied Fruit,Fruit,30,0,0,8,15,ml,local_csv,false
Amaretti Cookie (2 cookies),Amaretti Cookie,Dessert,90,2,4,12,2,piece,local_csv,false
Limoncello (1.5 oz shot),Limoncello,Drink,150,0,0,18,42.52,g,local_csv,false
Panna Cotta (1 serving),Panna Cotta,Dessert,300,4,20,25,1,piece,local_csv,false
Berry Coulis (1 tbsp),Berry Coulis,Other,20,0,0,5,15,ml,local_csv,false
Saltimbocca (1 serving),Saltimbocca,FastFood,380,38,22,5,1,piece,local_csv,false
Prosciutto (1 slice wrapper),Prosciutto,Protein,35,4,2.5,0,1,piece,local_csv,false
Sage (2 leaves),Sage,Other,1,0,0,0.1,2,piece,local_csv,false
Polenta (grilled 1 slice),Polenta,Carbs,120,2.5,1,25,1,piece,local_csv,false
Caponata (1/2 cup),Caponata,Vegetable,180,2,14,15,1,piece,local_csv,false
Eggplant (1/2 cup in caponata),Eggplant,Vegetable,40,0.5,2,6,1,piece,local_csv,false
Pine Nuts (1/2 tbsp),Pine Nuts,Snack,48,1,5,1,1,piece,local_csv,false
Raisins (1 tbsp),Raisins,Fruit,27,0.3,0,7,15,ml,local_csv,false
Gelato (Pistachio 1/2 cup),Gelato,Dessert,220,5,12,24,1,piece,local_csv,false
Waffle Cone (1 small),Waffle Cone,Carbs,70,1,1.5,13,1,piece,local_csv,false
Cacio e Pepe (1.5 cups),Cacio e Pepe,Carbs,500,18,19,65,1.5,cup,local_csv,false
Pecorino Romano (1/4 cup),Pecorino Romano,Dairy,110,7.5,8.5,1,1,piece,local_csv,false
Black Pepper (1/2 tsp),Black Pepper,Other,3,0.1,0,0.7,1,piece,local_csv,false
Fiorentina Steak (3oz portion),Fiorentina Steak,Protein,230,24,15,0,85.05,g,local_csv,false
Rosemary (garnish),Rosemary,Other,1,0,0,0.2,1,piece,local_csv,false
White Beans (Tuscan style 1/2 cup),White Beans,Carbs,150,8,4,20,1,piece,local_csv,false
Garlic (1 clove in beans),Garlic,Vegetable,4,0.2,0,0.9,1,piece,local_csv,false
Sage (in beans),Sage,Other,1,0,0,0.1,1,piece,local_csv,false
Arancini (1 large ball),Arancini,Snack,250,9,10,30,1,piece,local_csv,false
Ragù (filling 1 tbsp),Ragù,Other,25,1.5,1.5,1,15,ml,local_csv,false
Mozzarella (filling 0.5 oz),Mozzarella,Dairy,40,3,3,0.5,14.17,g,local_csv,false
Breadcrumbs (coating),Breadcrumbs,Carbs,25,0.5,0.5,4,1,piece,local_csv,false
Campari & Soda (1 drink),Campari & Soda,Drink,85,0,0,10,1,piece,local_csv,false
Olive (garnish),Olive,Fruit,5,0,0.5,0.1,1,piece,local_csv,false
Vitello Tonnato (1 serving),Vitello Tonnato,FastFood,380,35,25,3,1,piece,local_csv,false
Tuna Sauce (2 tbsp),Tuna Sauce,Other,100,4,9,1,30,ml,local_csv,false
Capers (garnish),Capers,Other,2,0.2,0.1,0.4,1,piece,local_csv,false
Lemon Slice (garnish),Lemon Slice,Other,1,0,0,0.3,1,piece,local_csv,false
Gnocchi alla Sorrentina (1.5 cups),Gnocchi alla Sorrentina,Carbs,450,15,18,60,1.5,cup,local_csv,false
Tomato Sauce (1/2 cup),Tomato Sauce,Other,40,1.5,1,7,1,piece,local_csv,false
Mozzarella (1 oz melted),Mozzarella,Dairy,80,6,6,1,28.35,g,local_csv,false
Basil (fresh garnish),Basil,Other,1,0.1,0,0,1,piece,local_csv,false
Pesto (1/4 cup),Pesto,Other,290,5,29,4,1,piece,local_csv,false
Pine Nuts (1 tbsp in pesto),Pine Nuts,Snack,95,2,10,2,15,ml,local_csv,false
Garlic (1/2 clove in pesto),Garlic,Vegetable,2,0.1,0,0.5,1,piece,local_csv,false
Trofie Pasta (1 cup cooked),Trofie Pasta,Carbs,210,7,1,43,1,cup,local_csv,false
Green Beans (1/2 cup w/ pasta),Green Beans,Vegetable,15,0.9,0.1,3.5,1,piece,local_csv,false
Potato (1/2 w/ pasta),Potato,Vegetable,65,1,0.1,15,1,piece,local_csv,false
Espresso Martini (1 drink),Espresso Martini,Drink,280,0.5,0,25,1,piece,local_csv,false
Vodka (1.5 oz),Vodka,Drink,97,0,0,0,42.52,g,local_csv,false
Coffee Liqueur (1 oz),Coffee Liqueur,Drink,100,0,0,15,28.35,g,local_csv,false
Espresso (1 oz in drink),Espresso,Drink,3,0.3,0.1,0,28.35,g,local_csv,false
Simple Syrup (1/2 oz),Simple Syrup,Other,30,0,0,8,1,piece,local_csv,false
Coffee Beans (3 garnish),Coffee Beans,Snack,2,0.1,0,0.3,3,piece,local_csv,false
Baba Ganoush (1/4 cup),Baba Ganoush,Vegetable,100,2,7,8,1,piece,local_csv,false
Pita Bread (1 white),Pita Bread,Carbs,165,5.5,1.2,33,1,piece,local_csv,false
Falafel (3 pieces),Falafel,Other,180,6,9,18,3,piece,local_csv,false
Tahini Sauce (1 tbsp),Tahini Sauce,Other,30,1,2.5,1.5,15,ml,local_csv,false
Pickled Turnips (2 tbsp),Pickled Turnips,Vegetable,10,0.2,0,2,30,ml,local_csv,false
Shawarma (Chicken 1 wrap),Shawarma,FastFood,550,30,25,50,1,piece,local_csv,false
Garlic Sauce (1 tbsp),Garlic Sauce,Other,90,0.1,10,1,15,ml,local_csv,false
Hummus (1/4 cup),Hummus,Carbs,130,5,8,10,1,piece,local_csv,false
Tabouli (1/2 cup),Tabouli,Other,120,3,6,15,1,piece,local_csv,false
Bulgur (1/4 cup in tabouli),Bulgur,Carbs,76,2.7,0.2,16.8,1,piece,local_csv,false
Parsley (1/4 cup in tabouli),Parsley,Vegetable,5,0.3,0.1,1,1,piece,local_csv,false
Mint (1 tbsp in tabouli),Mint,Other,1,0.1,0,0.1,15,ml,local_csv,false
Lemon Juice (1 tbsp dressing),Lemon Juice,Other,4,0.1,0,1.3,15,ml,local_csv,false
Olive Oil (1 tbsp dressing),Olive Oil,Other,120,0,14,0,15,ml,local_csv,false
Kibbeh (1 piece fried),Kibbeh,FastFood,230,9,13,20,1,piece,local_csv,false
Pine Nuts (1/2 tbsp filling),Pine Nuts,Snack,48,1,5,1,1,piece,local_csv,false
Ground Lamb (1 oz filling),Ground Lamb,Protein,80,5.5,6,0,28.35,g,local_csv,false
Bulgur (1 tbsp shell),Bulgur,Carbs,15,0.5,0,3.4,15,ml,local_csv,false
Lentil Soup (1 cup Middle Eastern),Lentil Soup,Carbs,200,10,5,30,1,cup,local_csv,false
Cumin (1 tsp),Cumin,Other,8,0.3,0.5,1.5,5,ml,local_csv,false
Coriander (1 tsp),Coriander,Other,5,0.1,0.2,1,5,ml,local_csv,false
Lemon Juice (1 tsp in soup),Lemon Juice,Other,1,0,0,0.4,5,ml,local_csv,false
Pita Crisps (1 oz),Pita Crisps,Snack,130,3,5,18,28.35,g,local_csv,false
Manakeesh (Za'atar 1 small),Manakeesh,Other,300,7,10,45,1,piece,local_csv,false
Za'atar (1 tbsp),Za'atar,Other,40,1,3,3,15,ml,local_csv,false
Olive Oil (1 tbsp on bread),Olive Oil,Other,120,0,14,0,15,ml,local_csv,false
Labneh (2 tbsp),Labneh,Dairy,60,4,4,2,30,ml,local_csv,false
Cucumber (1/4 cup side),Cucumber,Vegetable,8,0.3,0,1.8,1,piece,local_csv,false
Tomato (1/4 cup side),Tomato,Vegetable,8,0.3,0.1,1.8,1,piece,local_csv,false
Olives (5 side),Olives,Fruit,35,0.2,3.5,1,5,piece,local_csv,false
Mint Tea (1 cup),Mint Tea,Drink,2,0.1,0,0.5,1,cup,local_csv,false
Stuffed Grape Leaves (3 pcs),Stuffed Grape Leaves,Other,150,3,7,20,3,piece,local_csv,false
Rice (1/4 cup filling),Rice,Carbs,51,1.1,0.1,11.1,1,piece,local_csv,false
Turkish Coffee (1 small cup),Turkish Coffee,Drink,5,0.2,0,0.5,1,cup,local_csv,false
Cardamom (in coffee),Cardamom,Other,1,0,0,0.2,1,piece,local_csv,false
Shish Tawook (2 skewers),Shish Tawook,FastFood,300,35,16,5,2,piece,local_csv,false
Garlic Sauce (Toum 1 tbsp),Garlic Sauce,Other,90,0.1,10,1,15,ml,local_csv,false
French Fries (side),French Fries,Vegetable,340,4,17,44,1,piece,local_csv,false
Pickled Cucumber (1/4 cup),Pickled Cucumber,Vegetable,10,0.5,0,2,1,piece,local_csv,false
Fattoush Salad (1.5 cups),Fattoush Salad,Other,250,5,15,25,1.5,cup,local_csv,false
Fried Pita (1/2 pita in salad),Fried Pita,Carbs,80,2,3,12,1,piece,local_csv,false
Sumac (1/2 tsp dressing),Sumac,Other,5,0.1,0.2,1,1,piece,local_csv,false
Pomegranate Molasses (1 tsp),Pomegranate Molasses,Other,15,0,0,4,5,ml,local_csv,false
